Codice Univoco submisura;CUP ;codice fiscale PROGRAMMATORE;Denominazione PROGRAMMATORE;forma giuridica PROGRAMMATORE;descrizione forma giuritica PROGRAMMATORE;Codice ATECO PROGRAMMATORE ;codice fiscale  ATTUATORE;Denominazione ATTUATORE;forma giuridica ATTUATORE;descrizione forma giuritica ATTUATORE;Codice ATECO ATTUTORE;codice fiscale BENEFICIARIO;Denominazione BENEFICIARIO;forma giuridica_BENEFICIARIO;descrizione forma giuritica  BENEFICIARIO;Codice ATECO BENEFICIARIO 
M1C2I5.01.01;E11B21009240006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01215740471;D'ETOFFE S.P.A.;10;Società  per azioni;13.20.00;01215740471;D'ETOFFE S.P.A.;10;Società  per azioni;13.20.00
M1C2I5.01.01;E11B21011900006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01546000215;NEWLINE SAS DI VISENTHEINER ROBERT & C.;07;Società  in accomandita semplice;49.41.00;01546000215;NEWLINE SAS DI VISENTHEINER ROBERT & C.;07;Società  in accomandita semplice;49.41.00
M1C2I5.01.01;E11B21008200006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01021140775;OPENET TECHNOLOGIES S.P.A.;10;Società  per azioni;72.11.00;01021140775;OPENET TECHNOLOGIES S.P.A.;10;Società  per azioni;72.11.00
M1C2I5.01.01;E61B21009550006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;04898391216;DELIBERTI S.R.L.;11;Società  a responsabilità  limitata;47.72.10;04898391216;DELIBERTI S.R.L.;11;Società  a responsabilità  limitata;47.72.10
M1C2I5.01.01;E91B21011280006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;07877550728;META WELLNESS SOCIETA' A RESPONSABILITA';11;Società  a responsabilità  limitata;72.19.01;07877550728;META WELLNESS SOCIETA' A RESPONSABILITA';11;Società  a responsabilità  limitata;72.19.01
M1C2I5.01.01;E81B21009280006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;04423340282;UNIMOLDS S.R.L.;11;Società  a responsabilità  limitata;25.73.12;04423340282;UNIMOLDS S.R.L.;11;Società  a responsabilità  limitata;25.73.12
M1C2I5.01.01;E81B21012920006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;14763641009;ESSE CONSTRUCTION S.R.L.S. UNIPERSONALE;11;Società  a responsabilità  limitata;41.20.00;14763641009;ESSE CONSTRUCTION S.R.L.S. UNIPERSONALE;11;Società  a responsabilità  limitata;41.20.00
M1C2I5.01.01;E91B21007100006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;06702550960;C.M.L. ENGINEERING S.R.L.;11;Società  a responsabilità  limitata;28.49.01;06702550960;C.M.L. ENGINEERING S.R.L.;11;Società  a responsabilità  limitata;28.49.01
M1C2I5.01.01;E51B21007210006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03185340175;SALUMIFICIO DI FRANCIACORTA INDUSTRIA AL;11;Società  a responsabilità  limitata;10.13.00;03185340175;SALUMIFICIO DI FRANCIACORTA INDUSTRIA AL;11;Società  a responsabilità  limitata;10.13.00
M1C2I5.01.01;E41B21015970006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;04987210152;VARANO BORGHI 1813 S.R.L.;11;Società  a responsabilità  limitata;13.30.00;04987210152;VARANO BORGHI 1813 S.R.L.;11;Società  a responsabilità  limitata;13.30.00
M1C2I5.01.01;E41B21010980006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01438340281;T.M.V. PRIORE S.R.L.;11;Società  a responsabilità  limitata;28.30.10;01438340281;T.M.V. PRIORE S.R.L.;11;Società  a responsabilità  limitata;28.30.10
M1C2I5.01.01;E61B21010100006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;07447270633;DELLA PIA S.R.L.;11;Società  a responsabilità  limitata;15.20.10;07447270633;DELLA PIA S.R.L.;11;Società  a responsabilità  limitata;15.20.10
M1C2I5.01.01;E71B21006060006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03766000164;POLYKEG S.R.L.;11;Società  a responsabilità  limitata;22.22.00;03766000164;POLYKEG S.R.L.;11;Società  a responsabilità  limitata;22.22.00
